epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,899.499,3.62,11.4767,1.55435,0.14072,0.16265,0.05658,0.01553,2.9584,5.72452,1.1873,0.000662942,0.000662942,0.000662942
2,1713.29,3.17544,4.53774,1.28327,0.15195,0.18072,0.07542,0.0224,2.96146,3.8289,1.18409,0.00106635,0.00106635,0.00106635
3,4130.2,3.0887,3.4103,1.23183,0.18694,0.16265,0.07144,0.02095,2.93361,3.12196,1.1575,0.00120575,0.00120575,0.00120575
4,5043.41,2.9724,2.95284,1.22034,0.21207,0.20482,0.10052,0.02865,2.71626,2.63065,1.1119,0.000812,0.000812,0.000812
5,5627.45,2.83727,2.7301,1.18557,0.229,0.23896,0.12307,0.03595,2.62586,2.54239,1.08282,0.000416,0.000416,0.000416
