epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2651.91,3.55154,15.2348,1.57916,0.12869,0.14659,0.04574,0.01247,2.94359,4.27983,1.24025,0.000662942,0.000662942,0.000662942
2,4244.57,3.10651,2.92213,1.29392,0.00076,0.11245,0.00042,0.00014,3.45895,9896.61,5.90551,0.00106635,0.00106635,0.00106635
3,5761.19,3.06036,2.79425,1.24787,0.16438,0.18876,0.0771,0.02277,2.80048,2.72384,1.16296,0.00120575,0.00120575,0.00120575
4,7317.58,2.90851,2.57731,1.2232,0.2424,0.18953,0.11429,0.03398,2.69215,2.45724,1.12033,0.000812,0.000812,0.000812
5,9309.36,2.74989,2.4245,1.18649,0.23071,0.251,0.13184,0.03722,2.62926,2.26858,1.09558,0.000416,0.000416,0.000416
