epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2047.02,3.55154,15.2348,1.57916,0.12869,0.14659,0.04574,0.01247,2.94359,4.27983,1.24025,0.000662942,0.000662942,0.000662942
2,3646.08,3.18804,2.9922,1.31424,0.13793,0.14458,0.0588,0.01489,3.04286,2.79267,1.20038,0.00124185,0.00124185,0.00124185
3,6734.26,3.17029,2.91509,1.28686,0.06038,0.17068,0.02884,0.008,2.98372,3.05256,1.19925,0.00173277,0.00173277,0.00173277
4,9482.42,3.06787,2.86603,1.25758,0.1579,0.1555,0.06074,0.01665,2.95142,2.80368,1.21956,0.001604,0.001604,0.001604
5,11441.9,3.00523,2.73211,1.24452,0.17521,0.15261,0.0849,0.02533,2.81722,2.62948,1.13215,0.001472,0.001472,0.001472
6,13500.7,2.85528,2.57076,1.27838,0.22009,0.21285,0.11025,0.03114,2.699,2.36389,1.11542,0.00134,0.00134,0.00134
7,15369.5,2.77056,2.48856,1.25015,0.20411,0.22691,0.12221,0.03797,2.628,2.28979,1.10351,0.001208,0.001208,0.001208
8,16978.4,2.71071,2.38188,1.22831,0.21597,0.24096,0.11585,0.03459,2.64267,2.29776,1.09054,0.001076,0.001076,0.001076
9,18783.9,2.6505,2.3214,1.22562,0.24787,0.23092,0.13734,0.04176,2.61741,2.29847,1.09976,0.000944,0.000944,0.000944
10,20500.1,2.61778,2.26671,1.19858,0.20275,0.24498,0.12846,0.04147,2.59095,2.28805,1.09259,0.000812,0.000812,0.000812
11,22510.9,2.58223,2.22593,1.18401,0.28202,0.23092,0.15011,0.04783,2.48144,2.24166,1.06835,0.00068,0.00068,0.00068
12,24570.4,2.51515,2.17863,1.18147,0.26357,0.24498,0.14348,0.04309,2.54483,2.27141,1.08099,0.000548,0.000548,0.000548
13,26625.3,2.46432,2.10117,1.1689,0.29376,0.25502,0.1788,0.05215,2.45506,2.18299,1.05678,0.000416,0.000416,0.000416
14,28692.1,2.44431,2.08826,1.14617,0.29395,0.24244,0.16183,0.0478,2.53887,2.22794,1.07678,0.000284,0.000284,0.000284
15,30754.6,2.40747,2.0354,1.14137,0.28315,0.24297,0.16325,0.0516,2.50162,2.16176,1.06405,0.000152,0.000152,0.000152
