epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,771.172,3.62,11.4767,1.55435,0.14072,0.16265,0.05658,0.01553,2.9584,5.72452,1.1873,0.000662942,0.000662942,0.000662942
2,1422.74,3.22279,4.51461,1.29779,0.13779,0.14458,0.06014,0.01801,3.07664,3.78302,1.22172,0.00124185,0.00124185,0.00124185
3,2180.32,3.19693,3.35875,1.28108,0.16426,0.15462,0.06703,0.01754,3.01043,3.15995,1.20304,0.00173277,0.00173277,0.00173277
4,2944.16,3.10943,3.01651,1.27802,0.15491,0.16466,0.06093,0.01629,2.93307,2.9119,1.16933,0.001604,0.001604,0.001604
5,3754.67,3.02072,2.85561,1.25082,0.16017,0.16265,0.0779,0.02195,2.96109,2.73762,1.16115,0.001472,0.001472,0.001472
6,4567.98,2.87505,2.67105,1.28797,0.17603,0.21285,0.10056,0.02853,2.73944,2.49871,1.11279,0.00134,0.00134,0.00134
7,5340.57,2.78266,2.55136,1.24855,0.19184,0.23092,0.10477,0.0305,2.69953,2.42625,1.10153,0.001208,0.001208,0.001208
8,6010.6,2.76898,2.43119,1.2409,0.24394,0.16667,0.12255,0.0365,2.73612,2.42029,1.10211,0.001076,0.001076,0.001076
9,6641.89,2.66613,2.38386,1.21839,0.23192,0.22289,0.12754,0.03703,2.64943,2.40739,1.08333,0.000944,0.000944,0.000944
10,7382.25,2.62347,2.34139,1.19224,0.28326,0.18474,0.12831,0.03913,2.65637,2.34437,1.08435,0.000812,0.000812,0.000812
11,8125.86,2.59434,2.29113,1.17666,0.24386,0.24096,0.14097,0.04278,2.58727,2.3172,1.07479,0.00068,0.00068,0.00068
12,8776.22,2.54145,2.23639,1.18025,0.25264,0.22691,0.13513,0.03956,2.6002,2.29894,1.06917,0.000548,0.000548,0.000548
13,9521.15,2.50996,2.16717,1.16712,0.31033,0.22691,0.16188,0.04988,2.54291,2.2804,1.06739,0.000416,0.000416,0.000416
14,10276,2.49763,2.15631,1.14927,0.27834,0.24699,0.15096,0.04613,2.5385,2.2257,1.05296,0.000284,0.000284,0.000284
15,11090.3,2.43567,2.09859,1.13811,0.30359,0.2249,0.15193,0.04869,2.53411,2.20192,1.05552,0.000152,0.000152,0.000152
