epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,832.259,3.62,11.4767,1.55435,0.14072,0.16265,0.05658,0.01553,2.9584,5.72452,1.1873,0.000662942,0.000662942,0.000662942
2,1645.81,3.24091,4.52388,1.29152,0.13304,0.15462,0.05865,0.01722,3.03333,3.60106,1.22471,0.00127696,0.00127696,0.00127696
3,2294.72,3.20035,3.41154,1.27303,0.16306,0.10602,0.05394,0.01594,2.9606,3.15029,1.17656,0.00183817,0.00183817,0.00183817
4,3047.84,3.11835,3.03159,1.26571,0.10891,0.15863,0.06194,0.01779,3.00908,3.37626,1.17139,0.0017624,0.0017624,0.0017624
5,3823.95,3.03115,2.89459,1.23906,0.15393,0.18876,0.07937,0.02096,2.97635,2.93726,1.15029,0.0016832,0.0016832,0.0016832
6,4640.68,2.9974,2.76102,1.21266,0.20483,0.21084,0.10151,0.02702,2.77366,2.4957,1.12532,0.001604,0.001604,0.001604
7,5454.11,2.96161,2.66059,1.2021,0.17502,0.21888,0.08046,0.02591,2.71141,2.55627,1.11038,0.0015248,0.0015248,0.0015248
8,6180.42,2.88733,2.59977,1.19425,0.21519,0.19679,0.09834,0.02962,2.70678,2.50424,1.09334,0.0014456,0.0014456,0.0014456
