epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,899.499,3.62,11.4767,1.55435,0.14072,0.16265,0.05658,0.01553,2.9584,5.72452,1.1873,0.000662942,0.000662942,0.000662942
2,1713.29,3.17544,4.53774,1.28327,0.15195,0.18072,0.07542,0.0224,2.96146,3.8289,1.18409,0.00106635,0.00106635,0.00106635
3,4130.2,3.0887,3.4103,1.23183,0.18694,0.16265,0.07144,0.02095,2.93361,3.12196,1.1575,0.00120575,0.00120575,0.00120575
