epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2067.9,3.55154,15.2348,1.57916,0.12869,0.14659,0.04574,0.01247,2.94359,4.27983,1.24025,0.000662942,0.000662942,0.000662942
2,4120.93,3.20541,3.0107,1.32707,0.0075,0.04217,0.00207,0.00068,3.13581,128.922,1.19624,0.00126379,0.00126379,0.00126379
3,6179.28,3.15899,2.96149,1.27823,0.14599,0.1506,0.06242,0.0157,3.01708,2.76959,1.20925,0.00179864,0.00179864,0.00179864
4,8235.62,3.0275,2.81553,1.26083,0.15083,0.13855,0.05323,0.01513,2.96244,2.96879,1.1833,0.001703,0.001703,0.001703
5,10291.2,2.96765,2.7221,1.24592,0.17506,0.20884,0.08747,0.02362,2.82943,2.47126,1.14873,0.001604,0.001604,0.001604
6,12127.3,2.90707,2.62789,1.22302,0.20245,0.18474,0.091,0.02918,2.69007,2.44314,1.14526,0.001505,0.001505,0.001505
7,14129.9,2.85162,2.5185,1.20339,0.18655,0.21687,0.10455,0.03063,2.70846,2.37702,1.1426,0.001406,0.001406,0.001406
8,16159.8,2.81404,2.45985,1.1959,0.26745,0.20674,0.13251,0.03442,2.68509,2.36272,1.124,0.001307,0.001307,0.001307
9,18223.5,2.78166,2.41371,1.17954,0.22299,0.21888,0.11805,0.03435,2.58371,2.35172,1.10661,0.001208,0.001208,0.001208
10,20086.4,2.72362,2.38398,1.17605,0.21536,0.2651,0.13425,0.04044,2.63287,2.29221,1.10743,0.001109,0.001109,0.001109
11,22047.1,2.60316,2.30481,1.21638,0.20923,0.20281,0.1126,0.03186,2.56842,2.34387,1.10557,0.00101,0.00101,0.00101
12,24048.6,2.58304,2.25342,1.22484,0.27132,0.23293,0.14115,0.0464,2.56436,2.28546,1.10957,0.000911,0.000911,0.000911
13,26090,2.53593,2.17466,1.19207,0.26493,0.24096,0.16153,0.04918,2.46515,2.23385,1.0852,0.000812,0.000812,0.000812
14,27903.8,2.49911,2.16819,1.19103,0.27485,0.23695,0.16061,0.04751,2.52422,2.20776,1.09562,0.000713,0.000713,0.000713
15,29792.5,2.48758,2.12173,1.18066,0.29298,0.2249,0.17097,0.05273,2.50916,2.17184,1.09033,0.000614,0.000614,0.000614
16,31299.5,2.43837,2.05583,1.16471,0.27142,0.25301,0.16804,0.05455,2.46062,2.16305,1.07187,0.000515,0.000515,0.000515
17,32850.8,2.40212,2.04233,1.15027,0.28563,0.251,0.19276,0.05847,2.46882,2.13858,1.07756,0.000416,0.000416,0.000416
18,34621.5,2.37709,1.99525,1.15518,0.29926,0.23293,0.18877,0.05823,2.46929,2.16145,1.07529,0.000317,0.000317,0.000317
19,36464.4,2.34068,1.97493,1.13937,0.2962,0.27128,0.18566,0.05593,2.47049,2.15711,1.08369,0.000218,0.000218,0.000218
20,38167.9,2.30846,1.94586,1.12913,0.28572,0.25904,0.17915,0.05375,2.45668,2.1696,1.07765,0.000119,0.000119,0.000119
