epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,722.783,3.49082,10.7731,1.5568,0.1237,0.13052,0.04381,0.01258,3.20663,6.16898,1.31956,0.000662942,0.000662942,0.000662942
2,1517.7,3.09613,4.55215,1.38148,0.15633,0.16265,0.06387,0.01779,2.9343,3.44861,1.20528,0.00119798,0.00119798,0.00119798
3,2078.02,3.02449,3.24505,1.35794,0.13539,0.14659,0.0578,0.0172,2.95486,3.13854,1.2161,0.00160101,0.00160101,0.00160101
4,2714.16,2.95105,2.90387,1.32506,0.22048,0.18072,0.10062,0.02826,2.7791,2.59845,1.15479,0.001406,0.001406,0.001406
5,3863.03,2.86529,2.69028,1.28509,0.22276,0.19277,0.09984,0.03093,2.77399,2.5221,1.12104,0.001208,0.001208,0.001208
6,4494.18,2.79638,2.55199,1.25828,0.20263,0.19076,0.09506,0.02688,2.79708,2.47532,1.136,0.00101,0.00101,0.00101
7,5139.29,2.71581,2.45438,1.22896,0.21413,0.21285,0.10534,0.03004,2.73866,2.47462,1.11027,0.000812,0.000812,0.000812
8,5873.31,2.63021,2.36695,1.19227,0.2498,0.22088,0.13502,0.04135,2.63023,2.39801,1.07805,0.000614,0.000614,0.000614
9,6542.07,2.57628,2.2947,1.1841,0.2609,0.22892,0.13921,0.04072,2.54051,2.32858,1.06233,0.000416,0.000416,0.000416
10,7248.68,2.52991,2.22361,1.1664,0.25717,0.21888,0.13371,0.04083,2.55448,2.30136,1.06474,0.000218,0.000218,0.000218
