epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2054.18,3.4719,12.1544,1.59649,0.03325,0.17871,0.01306,0.00351,3.19456,32.281,1.30393,0.000662942,0.000662942,0.000662942
2,4083.51,3.08823,3.00036,1.40004,0.03453,0.0261,0.00456,0.00129,3.8361,5.24469,1.74558,0.00119798,0.00119798,0.00119798
3,6726.47,3.02578,2.89156,1.37293,0.1334,0.13855,0.05356,0.01613,2.95534,2.92896,1.23789,0.00160101,0.00160101,0.00160101
4,8424.19,2.96709,2.72664,1.33787,0.18355,0.20683,0.08683,0.02531,2.76879,2.56567,1.17111,0.001406,0.001406,0.001406
5,10064.2,2.86553,2.55138,1.306,0.17503,0.19512,0.08353,0.02403,2.81045,2.51667,1.16788,0.001208,0.001208,0.001208
6,12027.4,2.7796,2.45585,1.2758,0.19781,0.24096,0.1087,0.03295,2.68331,2.3572,1.1305,0.00101,0.00101,0.00101
7,15436,2.67566,2.34449,1.24516,0.20758,0.1988,0.12692,0.03584,2.68076,2.37932,1.11555,0.000812,0.000812,0.000812
8,19340.5,2.61435,2.2728,1.22256,0.227,0.26305,0.14648,0.04295,2.58422,2.24015,1.09999,0.000614,0.000614,0.000614
9,24183,2.53881,2.19857,1.19902,0.24902,0.25904,0.14769,0.04298,2.52666,2.21156,1.10169,0.000416,0.000416,0.000416
10,27832.5,2.48877,2.12125,1.18885,0.26804,0.23896,0.1601,0.04586,2.49329,2.19862,1.0769,0.000218,0.000218,0.000218
